Case,NETCASHFLOW_AMT_D30_D180_BIN,n_obs,prop_card,prop_n_obs,n_card,n_noncard,n_card_smooth,n_noncard_smooth,prop_n_card,prop_n_noncard,WoE,diff_prop_card,diff_WoE,IV_detail,IV
full,ZERO,919.0,0.001088139281828074,0.014985243041401015,1.0,918.0,1.005,918.005,0.00431293451205905,0.01502610239103598,-1.2481703144800564,,,0.013371858120580272,0.04145655283896854
full,"(-inf, -0.03]",18533.0,0.002913721469810608,0.30219968366298694,54.0,18479.0,54.005,18479.005,0.2317612222126856,0.30246831031907867,-0.2662688856467076,0.0018255821879825341,0.9819014288333489,0.018827097557412853,0.04145655283896854
full,"(-0.03, 0.42]",22128.0,0.004293203181489516,0.36081986726890275,95.00000000000001,22033.0,95.00500000000001,22033.005,0.4077117843961892,0.360640943254348,0.12267766763565949,9.003307970190284e-05,0.021276925529513463,0.005774541004929725,0.04145655283896854
full,"(0.42, +inf)",19747.0,0.004203170101787613,0.3219952060267093,83.0,19664.0,83.005,19664.005,0.35621405887906615,0.32186464403553733,0.10140074210614602,0.001289448631977005,0.3676696277528536,0.0034830561560456907,0.04145655283896854
no_missing,ZERO,919.0,0.001088139281828074,0.014985243041401015,1.0,918.0,1.005,918.005,0.004312934512059051,0.01502610239103598,-1.2481703144800562,,,0.01337185812058027,0.04145655283896853
no_missing,"(-inf, -0.03]",18533.0,0.002913721469810608,0.30219968366298694,54.0,18479.0,54.005,18479.005,0.23176122221268564,0.30246831031907867,-0.2662688856467074,0.0018255821879825341,0.9819014288333487,0.018827097557412832,0.04145655283896853
no_missing,"(-0.03, 0.42]",22128.0,0.004293203181489516,0.36081986726890275,95.00000000000001,22033.0,95.00500000000001,22033.005,0.4077117843961892,0.360640943254348,0.12267766763565949,9.003307970190284e-05,0.021276925529513255,0.005774541004929725,0.04145655283896853
no_missing,"(0.42, +inf)",19747.0,0.004203170101787613,0.3219952060267093,83.0,19664.0,83.005,19664.005,0.3562140588790662,0.32186464403553733,0.10140074210614623,0.001289448631977005,0.36766962775285367,0.0034830561560457033,0.04145655283896853
